Performance,Station,Interval Start,Entry Count,Exit Count
Dance Drama 'Peacock',2号线上海科技馆,2025-05-28 18:15:00,5,0
Dance Drama 'Peacock',2号线上海科技馆,2025-05-28 18:30:00,7,0
Dance Drama 'Peacock',2号线上海科技馆,2025-05-28 18:45:00,10,0
Dance Drama 'Peacock',2号线上海科技馆,2025-05-28 19:00:00,13,0
Dance Drama 'Peacock',2号线上海科技馆,2025-05-28 19:15:00,15,0
Dance Drama 'Peacock',2号线上海科技馆,2025-05-28 21:15:00,0,15
Dance Drama 'Peacock',2号线上海科技馆,2025-05-28 21:30:00,0,10
Dance Drama 'Peacock',2号线上海科技馆,2025-05-28 21:45:00,0,7
Dance Drama 'Peacock',2号线上海科技馆,2025-05-28 22:00:00,0,4
Dance Drama 'Peacock',2号线上海科技馆,2025-05-28 22:15:00,0,4
Dance Drama 'Peacock',2号线上海科技馆,2025-05-28 22:30:00,0,2
Dance Drama 'Peacock',2号线上海科技馆,2025-05-28 22:45:00,0,2
Dance Drama 'Peacock',2号线上海科技馆,2025-05-28 23:00:00,0,2
Dance Drama 'Peacock',2号线上海科技馆,2025-05-28 23:15:00,0,1
Dance Drama 'Peacock',9号线杨高中路,2025-05-28 18:15:00,4,0
Dance Drama 'Peacock',9号线杨高中路,2025-05-28 18:30:00,5,0
Dance Drama 'Peacock',9号线杨高中路,2025-05-28 18:45:00,7,0
Dance Drama 'Peacock',9号线杨高中路,2025-05-28 19:00:00,10,0
Dance Drama 'Peacock',9号线杨高中路,2025-05-28 19:15:00,12,0
Dance Drama 'Peacock',9号线杨高中路,2025-05-28 21:15:00,0,11
Dance Drama 'Peacock',9号线杨高中路,2025-05-28 21:30:00,0,7
Dance Drama 'Peacock',9号线杨高中路,2025-05-28 21:45:00,0,6
Dance Drama 'Peacock',9号线杨高中路,2025-05-28 22:00:00,0,3
Dance Drama 'Peacock',9号线杨高中路,2025-05-28 22:15:00,0,3
Dance Drama 'Peacock',9号线杨高中路,2025-05-28 22:30:00,0,2
