station,interval_start,entry_count,exit_count
10号线三门路,2018-01-05 05:00:01,1,0
10号线三门路,2018-01-05 05:15:01,6,0
10号线三门路,2018-01-05 05:30:01,3,0
10号线三门路,2018-01-05 05:45:01,7,0
10号线三门路,2018-01-05 06:00:01,9,0
10号线三门路,2018-01-05 06:15:01,22,7
10号线三门路,2018-01-05 06:30:01,42,1
10号线三门路,2018-01-05 06:45:01,88,7
10号线三门路,2018-01-05 07:00:01,112,6
10号线三门路,2018-01-05 07:15:01,205,8
10号线三门路,2018-01-05 07:30:01,267,21
10号线三门路,2018-01-05 07:45:01,283,29
10号线三门路,2018-01-05 08:00:01,344,47
10号线三门路,2018-01-05 08:15:01,320,55
10号线三门路,2018-01-05 08:30:01,218,145
10号线三门路,2018-01-05 08:45:01,179,190
10号线三门路,2018-01-05 09:00:01,120,67
10号线三门路,2018-01-05 09:15:01,82,86
10号线三门路,2018-01-05 09:30:01,55,84
10号线三门路,2018-01-05 09:45:01,49,69
10号线三门路,2018-01-05 10:00:01,32,49
10号线三门路,2018-01-05 10:15:01,32,38
10号线三门路,2018-01-05 10:30:01,17,24
10号线三门路,2018-01-05 10:45:01,24,23
10号线三门路,2018-01-05 11:00:01,27,16
10号线三门路,2018-01-05 11:15:01,24,27
10号线三门路,2018-01-05 11:30:01,26,14
10号线三门路,2018-01-05 11:45:01,37,26
10号线三门路,2018-01-05 12:00:01,28,15
10号线三门路,2018-01-05 12:15:01,27,22
10号线三门路,2018-01-05 12:30:01,40,34
10号线三门路,2018-01-05 12:45:01,41,30
10号线三门路,2018-01-05 13:00:01,34,27
10号线三门路,2018-01-05 13:15:01,30,30
10号线三门路,2018-01-05 13:30:01,32,33
10号线三门路,2018-01-05 13:45:01,28,43
10号线三门路,2018-01-05 14:00:01,17,46
10号线三门路,2018-01-05 14:15:01,30,39
10号线三门路,2018-01-05 14:30:01,24,30
10号线三门路,2018-01-05 14:45:01,32,41
10号线三门路,2018-01-05 15:00:01,22,35
10号线三门路,2018-01-05 15:15:01,32,47
10号线三门路,2018-01-05 15:30:01,25,45
10号线三门路,2018-01-05 15:45:01,29,40
10号线三门路,2018-01-05 16:00:01,27,45
10号线三门路,2018-01-05 16:15:01,41,45
10号线三门路,2018-01-05 16:30:01,34,73
10号线三门路,2018-01-05 16:45:01,44,64
10号线三门路,2018-01-05 17:00:01,86,66
10号线三门路,2018-01-05 17:15:01,94,95
10号线三门路,2018-01-05 17:30:01,94,113
10号线三门路,2018-01-05 17:45:01,83,129
10号线三门路,2018-01-05 18:00:01,86,152
10号线三门路,2018-01-05 18:15:01,98,166
10号线三门路,2018-01-05 18:30:01,68,172
